[2021-08-20 10:38:14,760] associateSystemSkuInterface.py->associateSystemSku line:21 [INFO]associateSystemSku ---->start!
[2021-08-20 10:38:41,902] associateSystemSkuInterface.py->associateSystemSku line:21 [INFO]associateSystemSku ---->start!
[2021-08-20 10:39:08,600] associateSystemSkuInterface.py->associateSystemSku line:21 [INFO]associateSystemSku ---->start!
[2021-08-20 10:40:25,211] associateSystemSkuInterface.py->associateSystemSku line:21 [INFO]associateSystemSku ---->start!
[2021-08-20 10:40:41,157] associateSystemSkuInterface.py->associateSystemSku line:21 [INFO]associateSystemSku ---->start!
[2021-08-20 10:41:29,366] associateSystemSkuInterface.py->associateSystemSku line:21 [INFO]associateSystemSku ---->start!
[2021-08-20 11:53:13,420] associateSystemSkuInterface.py->associateSystemSku line:21 [INFO]associateSystemSku ---->start!
[2021-08-20 11:53:13,904] associateSystemSkuInterface.py->associateSystemSku line:21 [INFO]associateSystemSku ---->start!
[2021-08-20 11:53:14,027] associateSystemSkuInterface.py->associateSystemSku line:51 [ERROR]associateSystemSku -->response Data is wrong!
[2021-08-20 14:28:47,729] associateSystemSkuInterface.py->associateSystemSku line:21 [INFO]associateSystemSku ---->start!
[2021-08-20 14:28:48,218] associateSystemSkuInterface.py->associateSystemSku line:21 [INFO]associateSystemSku ---->start!
[2021-08-20 14:28:48,345] associateSystemSkuInterface.py->associateSystemSku line:51 [ERROR]associateSystemSku -->response Data is wrong!
[2021-08-20 14:29:10,174] associateSystemSkuInterface.py->associateSystemSku line:21 [INFO]associateSystemSku ---->start!
[2021-08-20 14:29:10,561] associateSystemSkuInterface.py->associateSystemSku line:21 [INFO]associateSystemSku ---->start!
[2021-08-20 14:29:10,693] associateSystemSkuInterface.py->associateSystemSku line:51 [ERROR]associateSystemSku -->response Data is wrong!
[2021-08-20 14:42:09,271] amazonSelectInterface.py->myDataAmazonSelect line:22 [INFO]queryAmazonRankListing ---->start!
[2021-08-20 14:42:09,644] amazonSelectInterface.py->myDataAmazonSelect line:22 [INFO]queryAmazonRankListing ---->start!
[2021-08-20 16:53:13,081] amazonSelectInterface.py->myDataAmazonSelect line:22 [INFO]queryAmazonRankListing ---->start!
[2021-08-20 16:53:13,081] amazonSelectInterface.py->myDataAmazonSelect line:22 [INFO]queryAmazonRankListing ---->start!
[2021-08-20 16:53:13,863] amazonSelectInterface.py->myDataAmazonSelect line:22 [INFO]queryAmazonRankListing ---->start!
[2021-08-20 16:53:13,863] amazonSelectInterface.py->myDataAmazonSelect line:22 [INFO]queryAmazonRankListing ---->start!
[2021-08-20 16:54:57,932] amazonSelectInterface.py->myDataAmazonSelect line:22 [INFO]queryAmazonRankListing ---->start!
[2021-08-20 16:54:57,932] amazonSelectInterface.py->myDataAmazonSelect line:22 [INFO]queryAmazonRankListing ---->start!
[2021-08-20 16:54:58,189] amazonSelectInterface.py->myDataAmazonSelect line:22 [INFO]queryAmazonRankListing ---->start!
[2021-08-20 16:54:58,189] amazonSelectInterface.py->myDataAmazonSelect line:22 [INFO]queryAmazonRankListing ---->start!
[2021-08-20 16:55:07,244] amazonSelectInterface.py->myDataAmazonSelect line:22 [INFO]queryAmazonRankListing ---->start!
[2021-08-20 16:55:07,244] amazonSelectInterface.py->myDataAmazonSelect line:22 [INFO]queryAmazonRankListing ---->start!
