[2021-09-24 10:07:02,968] parameterConfigSelectApi.py->paramConfigQuery line:21 [INFO]paramConfigQuery ---->start!
[2021-09-24 10:07:03,095] parameterConfigSelectApi.py->paramConfigQuery line:35 [INFO]paramConfigQuery ---->end!
[2021-09-24 10:07:03,158] productGetDijiaApi.py->productDetDiJia line:20 [INFO]productGenDijia ---->start!
[2021-09-24 10:07:03,454] productGetDijiaApi.py->productDetDiJia line:38 [INFO]productGenDijia ---->end!
[2021-09-24 10:07:03,485] productGetTongkuanApi.py->productGetTongkuan line:20 [INFO]productGetTongkuan ---->start!
[2021-09-24 10:07:03,679] productGetTongkuanApi.py->productGetTongkuan line:43 [INFO]productGetTongkuan ---->end!
[2021-09-24 10:07:03,703] parameterConfigSaveApi.py->paramConfigFunction line:19 [INFO]paramConfigFunction ---->start!
[2021-09-24 10:07:03,807] parameterConfigSaveApi.py->paramConfigFunction line:41 [INFO]paramConfigFunction ---->end!
[2021-09-24 10:07:03,807] parameterConfigSaveApi.py->paramConfigFunction line:19 [INFO]paramConfigFunction ---->start!
[2021-09-24 10:07:03,922] parameterConfigSaveApi.py->paramConfigFunction line:41 [INFO]paramConfigFunction ---->end!
[2021-09-24 10:07:03,922] parameterConfigSelectApi.py->paramConfigQuery line:21 [INFO]paramConfigQuery ---->start!
[2021-09-24 10:07:04,052] parameterConfigSelectApi.py->paramConfigQuery line:35 [INFO]paramConfigQuery ---->end!
[2021-09-24 10:07:04,175] productGetDijiaApi.py->productDetDiJia line:20 [INFO]productGenDijia ---->start!
[2021-09-24 10:07:04,344] productGetDijiaApi.py->productDetDiJia line:38 [INFO]productGenDijia ---->end!
[2021-09-24 10:07:04,378] productGetTongkuanApi.py->productGetTongkuan line:20 [INFO]productGetTongkuan ---->start!
[2021-09-24 10:07:04,586] productGetTongkuanApi.py->productGetTongkuan line:43 [INFO]productGetTongkuan ---->end!
[2021-09-24 10:12:44,834] parameterConfigSelectApi.py->paramConfigQuery line:21 [INFO]paramConfigQuery ---->start!
[2021-09-24 10:12:45,253] parameterConfigSelectApi.py->paramConfigQuery line:35 [INFO]paramConfigQuery ---->end!
[2021-09-24 10:12:45,306] productGetDijiaApi.py->productDetDiJia line:20 [INFO]productGenDijia ---->start!
[2021-09-24 10:12:45,757] productGetDijiaApi.py->productDetDiJia line:38 [INFO]productGenDijia ---->end!
[2021-09-24 10:12:45,786] productGetTongkuanApi.py->productGetTongkuan line:20 [INFO]productGetTongkuan ---->start!
[2021-09-24 10:12:46,058] productGetTongkuanApi.py->productGetTongkuan line:43 [INFO]productGetTongkuan ---->end!
[2021-09-24 10:12:46,078] parameterConfigSaveApi.py->paramConfigFunction line:19 [INFO]paramConfigFunction ---->start!
[2021-09-24 10:12:46,256] parameterConfigSaveApi.py->paramConfigFunction line:41 [INFO]paramConfigFunction ---->end!
[2021-09-24 10:12:46,256] parameterConfigSaveApi.py->paramConfigFunction line:19 [INFO]paramConfigFunction ---->start!
[2021-09-24 10:12:46,411] parameterConfigSaveApi.py->paramConfigFunction line:41 [INFO]paramConfigFunction ---->end!
[2021-09-24 10:12:46,412] parameterConfigSelectApi.py->paramConfigQuery line:21 [INFO]paramConfigQuery ---->start!
[2021-09-24 10:12:46,552] parameterConfigSelectApi.py->paramConfigQuery line:35 [INFO]paramConfigQuery ---->end!
[2021-09-24 10:12:46,717] productGetDijiaApi.py->productDetDiJia line:20 [INFO]productGenDijia ---->start!
[2021-09-24 10:12:46,922] productGetDijiaApi.py->productDetDiJia line:38 [INFO]productGenDijia ---->end!
[2021-09-24 10:12:46,947] productGetTongkuanApi.py->productGetTongkuan line:20 [INFO]productGetTongkuan ---->start!
[2021-09-24 10:12:47,153] productGetTongkuanApi.py->productGetTongkuan line:43 [INFO]productGetTongkuan ---->end!
[2021-09-24 10:39:34,312] parameterConfigSelectApi.py->paramConfigQuery line:21 [INFO]paramConfigQuery ---->start!
[2021-09-24 10:39:34,488] parameterConfigSelectApi.py->paramConfigQuery line:35 [INFO]paramConfigQuery ---->end!
[2021-09-24 10:39:34,543] productGetDijiaApi.py->productDetDiJia line:20 [INFO]productGenDijia ---->start!
[2021-09-24 10:39:35,029] productGetDijiaApi.py->productDetDiJia line:38 [INFO]productGenDijia ---->end!
[2021-09-24 10:39:35,055] productGetTongkuanApi.py->productGetTongkuan line:20 [INFO]productGetTongkuan ---->start!
[2021-09-24 10:39:35,248] productGetTongkuanApi.py->productGetTongkuan line:43 [INFO]productGetTongkuan ---->end!
[2021-09-24 10:39:35,277] parameterConfigSaveApi.py->paramConfigFunction line:19 [INFO]paramConfigFunction ---->start!
[2021-09-24 10:39:35,396] parameterConfigSaveApi.py->paramConfigFunction line:41 [INFO]paramConfigFunction ---->end!
[2021-09-24 10:39:35,397] parameterConfigSaveApi.py->paramConfigFunction line:19 [INFO]paramConfigFunction ---->start!
[2021-09-24 10:39:35,529] parameterConfigSaveApi.py->paramConfigFunction line:41 [INFO]paramConfigFunction ---->end!
[2021-09-24 10:39:35,529] parameterConfigSelectApi.py->paramConfigQuery line:21 [INFO]paramConfigQuery ---->start!
[2021-09-24 10:39:35,660] parameterConfigSelectApi.py->paramConfigQuery line:35 [INFO]paramConfigQuery ---->end!
[2021-09-24 10:39:35,760] productGetDijiaApi.py->productDetDiJia line:20 [INFO]productGenDijia ---->start!
[2021-09-24 10:39:35,944] productGetDijiaApi.py->productDetDiJia line:38 [INFO]productGenDijia ---->end!
[2021-09-24 10:39:35,986] productGetTongkuanApi.py->productGetTongkuan line:20 [INFO]productGetTongkuan ---->start!
[2021-09-24 10:39:36,170] productGetTongkuanApi.py->productGetTongkuan line:43 [INFO]productGetTongkuan ---->end!
